method,dataset,split,category,arm,eval_mode,metric,auroc,aupr,fpr95,n_eval,drift_delay,seed,timestamp
diversify,TSB-U-OOD_002_SEG_4031_024_NAB_id_24_Synthetic_tr_1007,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3136,0.4183,1.0,26,,42,2026-08-24T22:33:50
diversify,TSB-U-OOD_003_SEG_10028_306_UCR_id_4_Medical_tr_2507_1,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.0278,0.3313,1.0,24,,42,2026-08-24T22:33:55
diversify,TSB-U-OOD_003_SEG_10028_306_UCR_id_4_Medical_tr_2507_1,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.5278,0.5191,0.8333,24,,42,2026-08-24T22:33:55
diversify,TSB-U-OOD_004_SEG_149123_263_IOPS_id_4_WebService_tr_3,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.3668,0.4669,0.9412,34,,42,2026-08-24T22:33:58
diversify,TSB-U-OOD_004_SEG_149123_263_IOPS_id_4_WebService_tr_3,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.3114,0.4066,1.0,34,,42,2026-08-24T22:33:58
diversify,TSB-U-OOD_005_SEG_130400_237_SVDB_id_1_Medical_tr_1158,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.4562,0.5437,0.9818,110,,42,2026-08-24T22:34:04
diversify,TSB-U-OOD_005_SEG_130400_237_SVDB_id_1_Medical_tr_1158,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,0.4628,0.57,1.0,110,,42,2026-08-24T22:34:04
diversify,TSB-U-OOD_006_SEG_2430_147_MSL_id_8_Sensor_tr_590_1st_,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.0,0.3833,1.0,6,,42,2026-08-24T22:34:05
diversify,TSB-U-OOD_006_SEG_2430_147_MSL_id_8_Sensor_tr_590_1st_,U,OOD,cosine_centroid,per_sample_selftrain,per_sample_auroc,1.0,1.0,0.0,6,,42,2026-08-24T22:34:05
diversify,TSB-U-OOD_009_SEG_8184_504_UCR_id_202_Environment_tr_2,U,OOD,energy,per_sample_selftrain,per_sample_auroc,0.0,0.3655,1.0,8,,42,2026-08-24T22:34:08
